"ik","stem","category","exponent","index","v_form","v_base","v_suffix","v_freq","nv_form","nv_base","nv_suffix","nv_freq","dupl","ikfreq","stemfreq","odds","log_odds","form_freq","log_form_freq","log_ikfreq","log_stemfreq","outlier_form","outlier_stem","diff_freq","log_diff_freq","n_q_types","cluster","C1","C2","homorganic","C1son","C2son","sonority","syl_count","compound","free.stem","intransitive","gloss_stem","phon_stem","cvc_weight_nak_nof","cvc_weight_anak_nof","c.sonority","c.log_ikfreq","c.log_stemfreq","cvc_freq","cc_freq","transitive","cvc_weight_nak","pred","stem_nv_freq","stem_v_freq","stem_odds","log_stem_odds"
"bűzlik","bűz","Q","[tAk]","bűz [tAk]","bűzöltek","bűzöl","tAk",0,"bűzlöttek","bűzl","OttAk",31,FALSE,560,1471,0.03125,-3.46573590279973,31,3.46573590279973,6.32793678372919,7.29369772060144,FALSE,FALSE,911,6.81454289725996,6,"zl","z","l","TRUE",5,3,-2,"1","0","1",1,"stink","byːzlik",0.117472291386413,0.954260450663869,0.461538461538461,-0.279408831516444,0.933261023925358,0,31,"FALSE",0.117472291386413,0.00677653033688475,107,1,0.0185185185185185,-3.98898404656427
"bűzlik","bűz","Q","[tOk]","bűz [tOk]","bűzöltök","bűzöl","tOk",0,"bűzlötök","bűzl","OtOk",2,FALSE,560,1471,0.333333333333333,-1.09861228866811,2,1.09861228866811,6.32793678372919,7.29369772060144,FALSE,FALSE,911,6.81454289725996,6,"zl","z","l","TRUE",5,3,-2,"1","0","1",1,"stink","byːzlik",0.117472291386413,0.954260450663869,0.461538461538461,-0.279408831516444,0.933261023925358,0,2,"FALSE",0.117472291386413,0.100368516103962,107,1,0.0185185185185185,-3.98898404656427
"bűzlik","bűz","Q","[ni]","bűz [ni]","bűzölni","bűzöl","ni",1,"bűzleni","bűzl","Ani",30,FALSE,560,1471,0.0645161290322581,-2.7408400239252,31,3.46573590279973,6.32793678372919,7.29369772060144,FALSE,FALSE,911,6.81454289725996,6,"zl","z","l","TRUE",5,3,-2,"1","0","1",1,"stink","byːzlik",0.117472291386413,0.954260450663869,0.461538461538461,-0.279408831516444,0.933261023925358,1,30,"FALSE",0.117472291386413,0.011469449481907,107,1,0.0185185185185185,-3.98898404656427
"bűzlik","bűz","Q","[nAk]","bűz [nAk]","bűzölnek","bűzöl","nAk",0,"bűzlenek","bűzl","AnAk",42,FALSE,560,1471,0.0232558139534884,-3.76120011569356,42,3.76120011569356,6.32793678372919,7.29369772060144,FALSE,FALSE,911,6.81454289725996,6,"zl","z","l","TRUE",5,3,-2,"1","0","1",1,"stink","byːzlik",0.117472291386413,0.954260450663869,0.461538461538461,-0.279408831516444,0.933261023925358,0,42,"FALSE",0.117472291386413,0.00280812401449009,107,1,0.0185185185185185,-3.98898404656427
"bűzlik","bűz","Q","[nA]","bűz [nA]","bűzölne","bűzöl","nA",0,"bűzlene","bűzl","AnA",2,FALSE,560,1471,0.333333333333333,-1.09861228866811,2,1.09861228866811,6.32793678372919,7.29369772060144,FALSE,FALSE,911,6.81454289725996,6,"zl","z","l","TRUE",5,3,-2,"1","0","1",1,"stink","byːzlik",0.117472291386413,0.954260450663869,0.461538461538461,-0.279408831516444,0.933261023925358,0,2,"FALSE",0.117472291386413,0.00926413091384278,107,1,0.0185185185185185,-3.98898404656427
"döglik","dög","Q","[ni]","dög [ni]","dögölni","dögöl","ni",18,"dögleni","dögl","Ani",136,FALSE,381,3737,0.138686131386861,-1.97554194666168,154,5.04342511691925,5.9427993751267,8.22603842948548,FALSE,FALSE,3356,8.1185050675871,8,"gl","g","l","FALSE",7,3,-4,"1","0","1",1,"perish","døglik",0.932800400939232,0.83634082228594,2.46153846153846,0.105728577086046,0.000920315041318176,18,136,"FALSE",0.932800400939232,0.1234142816149,302,29,0.099009900990099,-2.31253542384721
"döglik","dög","Q","[tOk]","dög [tOk]","dögöltök","dögöl","tOk",0,"döglötök","dögl","OtOk",2,FALSE,381,3737,0.333333333333333,-1.09861228866811,2,1.09861228866811,5.9427993751267,8.22603842948548,FALSE,FALSE,3356,8.1185050675871,8,"gl","g","l","FALSE",7,3,-4,"1","0","1",1,"perish","døglik",0.932800400939232,0.83634082228594,2.46153846153846,0.105728577086046,0.000920315041318176,0,2,"FALSE",0.932800400939232,0.5751533239608,302,29,0.099009900990099,-2.31253542384721
"döglik","dög","Q","[nA]","dög [nA]","dögölne","dögöl","nA",10,"döglene","dögl","AnA",4,FALSE,381,3737,2.2,0.78845736036427,14,2.70805020110221,5.9427993751267,8.22603842948548,FALSE,FALSE,3356,8.1185050675871,8,"gl","g","l","FALSE",7,3,-4,"1","0","1",1,"perish","døglik",0.932800400939232,0.83634082228594,2.46153846153846,0.105728577086046,0.000920315041318176,10,4,"FALSE",0.932800400939232,0.10190334234036,302,29,0.099009900990099,-2.31253542384721
"döglik","dög","Q","[tAk]","dög [tAk]","dögöltek","dögöl","tAk",0,"döglöttek","dögl","OttAk",47,FALSE,381,3737,0.0208333333333333,-3.87120101090789,47,3.87120101090789,5.9427993751267,8.22603842948548,FALSE,FALSE,3356,8.1185050675871,8,"gl","g","l","FALSE",7,3,-4,"1","0","1",1,"perish","døglik",0.932800400939232,0.83634082228594,2.46153846153846,0.105728577086046,0.000920315041318176,0,47,"FALSE",0.932800400939232,0.0764600620818756,302,29,0.099009900990099,-2.31253542384721
"döglik","dög","Q","[nAk]","dög [nAk]","dögölnek","dögöl","nAk",1,"döglenek","dögl","AnAk",113,FALSE,381,3737,0.0175438596491228,-4.04305126783455,114,4.74493212836325,5.9427993751267,8.22603842948548,FALSE,FALSE,3356,8.1185050675871,8,"gl","g","l","FALSE",7,3,-4,"1","0","1",1,"perish","døglik",0.932800400939232,0.83634082228594,2.46153846153846,0.105728577086046,0.000920315041318176,1,113,"FALSE",0.932800400939232,0.0330418078048117,302,29,0.099009900990099,-2.31253542384721
"dohányzik","dohány","Q","[nA]","dohány [nA]","dohányozna","dohányoz","nA",25,"dohányzana","dohányz","AnA",0,FALSE,1314,5585,26,3.25809653802148,25,3.25809653802148,7.18083119904456,8.6278397115033,FALSE,FALSE,4271,8.35960327084147,7,"nyz","ny","z","FALSE",4,5,1,"2","0","1",0,"smoke","dohaːɲzik",0.995517187874405,0.92069627820312,-2.53846153846154,-1.13230324683181,-0.400880966976503,25,0,"TRUE",0.995517187874405,0.998915218995324,3,2253,563.5,6.33416733347983
"dohányzik","dohány","Q","[ni]","dohány [ni]","dohányozni","dohányoz","ni",1493,"dohányzani","dohányz","Ani",2,FALSE,1314,5585,498,6.21060007702465,1495,7.31055015853442,7.18083119904456,8.6278397115033,FALSE,FALSE,4271,8.35960327084147,7,"nyz","ny","z","FALSE",4,5,1,"2","0","1",0,"smoke","dohaːɲzik",0.995517187874405,0.92069627820312,-2.53846153846154,-1.13230324683181,-0.400880966976503,1493,2,"TRUE",0.995517187874405,0.999125564394683,3,2253,563.5,6.33416733347983
"dohányzik","dohány","Q","[tOk]","dohány [tOk]","dohányoztok","dohányoz","tOk",8,"dohányzotok","dohányz","OtOk",0,FALSE,1314,5585,9,2.19722457733622,8,2.19722457733622,7.18083119904456,8.6278397115033,FALSE,FALSE,4271,8.35960327084147,7,"nyz","ny","z","FALSE",4,5,1,"2","0","1",0,"smoke","dohaːɲzik",0.995517187874405,0.92069627820312,-2.53846153846154,-1.13230324683181,-0.400880966976503,8,0,"TRUE",0.995517187874405,0.999908990264049,3,2253,563.5,6.33416733347983
"dohányzik","dohány","Q","[tAk]","dohány [tAk]","dohányoztak","dohányoz","tAk",121,"dohányzottak","dohányz","OttAk",0,FALSE,1314,5585,122,4.80402104473326,121,4.80402104473326,7.18083119904456,8.6278397115033,FALSE,FALSE,4271,8.35960327084147,7,"nyz","ny","z","FALSE",4,5,1,"2","0","1",0,"smoke","dohaːɲzik",0.995517187874405,0.92069627820312,-2.53846153846154,-1.13230324683181,-0.400880966976503,121,0,"TRUE",0.995517187874405,0.998513879820685,3,2253,563.5,6.33416733347983
